ID,Date,SVXY Open,SVXY Close,VXX Open,VXX Close,VIX,SPX,Daily Return,LN(1+ret),21D RV*100,VIX - RV,Long SVXY,Long VXX,SVXY units,VXX units,SVXY MTM,VXX MTM,Equity,Daily Return,LN(1+ret)
102011,10/04/2011,19.75,21.05,14914.56,13528.37,40.82,1123.95,,,,,,,,,,,,,
102011,10/05/2011,21.76,22.70,13352.96,12866.56,37.81,1144.03,1.79%,1.77%,,,,,,,,,,,
102011,10/06/2011,22.72,23.17,12907.52,12641.28,36.27,1164.97,1.83%,1.81%,,,,,,,,,,,
102011,10/07/2011,23.59,23.34,12410.88,12856.32,36.20,1155.46,-0.82%,-0.82%,,,,,,,,,,,
102011,10/10/2011,23.75,24.30,12352.00,11932.16,33.02,1194.89,3.41%,3.36%,,,,,,,,,,,
102011,10/11/2011,24.13,24.63,12083.20,11786.24,32.86,1195.54,0.05%,0.05%,,,,,,,,,,,
102011,10/12/2011,25.58,26.34,11389.44,11000.32,31.26,1207.25,0.98%,0.97%,,,,,,,,,,,
102011,10/13/2011,26.00,26.14,11111.68,10977.28,30.70,1203.66,-0.30%,-0.30%,,,,,,,,,,,
102011,10/14/2011,27.70,27.88,10529.28,10357.76,28.24,1224.58,1.74%,1.72%,,,,,,,,,,,
102011,10/17/2011,27.45,24.81,10401.28,11432.96,33.39,1200.86,-1.94%,-1.96%,,,,,,,,,,,
102011,10/18/2011,24.75,25.67,11443.20,11008.00,31.56,1225.38,2.04%,2.02%,,,,,,,,,,,
102011,10/19/2011,25.89,23.96,10938.88,11742.72,34.44,1209.88,-1.26%,-1.27%,,,,,,,,,,,
102011,10/20/2011,23.83,23.75,11840.00,11857.92,34.78,1215.39,0.46%,0.45%,,,,,,,,,,,
102011,10/21/2011,24.64,24.92,11409.92,11210.24,31.32,1238.25,1.88%,1.86%,,,,,,,,,,,
102011,10/24/2011,25.47,26.53,11089.92,10539.52,29.26,1254.19,1.29%,1.28%,,,,,,,,,,,
102011,10/25/2011,26.12,24.73,10654.72,11212.80,32.22,1229.05,-2.00%,-2.02%,,,,,,,,,,,
102011,10/26/2011,25.65,25.56,10792.96,10759.68,29.86,1242.00,1.05%,1.05%,,,,,,,,,,,
102011,10/27/2011,28.35,28.92,9658.88,9331.20,25.46,1284.59,3.43%,3.37%,,,,,,,,,,,
102011,10/28/2011,28.42,29.39,9528.32,9282.56,24.53,1285.09,0.04%,0.04%,,,,,,,,,,,
102011,10/31/2011,27.88,26.22,9692.16,10268.16,29.96,1253.30,-2.47%,-2.50%,,,,,,,,,,,
112011,11/01/2011,22.20,22.32,11816.96,11755.52,34.77,1218.28,-2.79%,-2.83%,,,,,,,,,,,
112011,11/02/2011,23.24,23.06,11340.80,11392.00,32.74,1237.90,1.61%,1.60%,28.94,11.88,1,0,0,0,0,0," 1,000,000 ",,
112011,11/03/2011,23.72,24.18,11074.56,10831.36,30.50,1261.15,1.88%,1.86%,29.00,8.81,1,0,8674,0,3887,0," 1,003,887 ",0.39%,0.39%
112011,11/04/2011,23.53,23.71,11120.64,11071.74,30.16,1253.23,-0.63%,-0.63%,28.81,7.46,1,0,8674,0,-4120,0," 999,767 ",-0.41%,-0.41%
112011,11/07/2011,23.51,23.86,11112.96,10961.92,29.85,1261.12,0.63%,0.63%,28.49,7.71,1,0,8674,0,1344,0," 1,001,112 ",0.13%,0.13%
112011,11/08/2011,24.23,25.00,10813.44,10449.92,27.48,1275.92,1.17%,1.17%,26.53,6.49,1,0,8674,0,9932,0," 1,011,043 ",0.99%,0.99%
112011,11/09/2011,23.11,20.21,11243.52,12421.12,36.16,1229.10,-3.67%,-3.74%,29.93,2.93,1,0,8674,0,-41592,0," 969,451 ",-4.11%,-4.20%
112011,11/10/2011,21.37,21.45,11673.60,11642.88,32.81,1239.70,0.86%,0.86%,29.89,1.37,1,0,8674,0,10756,0," 980,207 ",1.11%,1.10%
112011,11/11/2011,22.30,22.38,11197.44,11146.24,30.04,1263.85,1.95%,1.93%,30.48,0.22,1,0,8674,0,8023,0," 988,231 ",0.82%,0.82%
112011,11/14/2011,22.07,21.82,11307.52,11422.72,31.13,1251.78,-0.96%,-0.96%,30.25,-2.01,0,1,8674,0,-4814,0," 983,417 ",-0.49%,-0.49%
112011,11/15/2011,21.42,22.05,11632.64,11297.28,31.22,1257.81,0.48%,0.48%,29.32,4.07,1,0,8674,17,-3519,-5800," 974,097 ",-0.95%,-0.95%
112011,11/16/2011,21.33,21.00,11655.68,11850.24,33.51,1236.91,-1.66%,-1.68%,29.26,2.30,1,0,8837,17,-3099,5994," 976,992 ",0.30%,0.30%
112011,11/17/2011,20.79,19.99,11937.28,12400.64,34.51,1216.13,-1.68%,-1.69%,29.53,4.91,1,0,8837,17,-8925,0," 968,067 ",-0.91%,-0.92%
112011,11/18/2011,20.50,20.63,12072.96,12003.84,32.00,1215.65,-0.04%,-0.04%,29.49,5.29,1,0,8837,17,5656,0," 973,723 ",0.58%,0.58%
112011,11/21/2011,19.54,20.42,12615.68,12170.24,32.91,1192.98,-1.86%,-1.88%,29.36,1.96,1,0,8837,17,-1812,0," 971,911 ",-0.19%,-0.19%
112011,11/22/2011,20.22,20.83,12231.68,11883.52,31.97,1188.04,-0.41%,-0.41%,28.89,0.37,1,0,8837,17,3667,0," 975,578 ",0.38%,0.38%
112011,11/23/2011,20.38,19.89,12167.68,12441.60,33.98,1161.79,-2.21%,-2.23%,29.06,3.16,1,0,8837,17,-8351,0," 967,227 ",-0.86%,-0.86%
112011,11/25/2011,19.87,19.63,12474.88,12595.20,34.47,1158.67,-0.27%,-0.27%,28.67,1.19,1,0,8837,17,-2342,0," 964,886 ",-0.24%,-0.24%
112011,11/28/2011,20.92,20.50,11742.72,11985.92,32.13,1192.55,2.92%,2.88%,27.88,-2.42,0,1,8837,17,7777,0," 972,662 ",0.81%,0.80%
112011,11/29/2011,20.71,20.89,11870.69,11745.28,30.64,1195.19,0.22%,0.22%,27.92,-3.39,0,1,8837,16,1720,-2102," 972,281 ",-0.04%,-0.04%
112011,11/30/2011,22.31,22.81,10969.60,10703.36,27.80,1246.96,4.33%,4.24%,31.11,-1.15,0,1,8837,16,0,-16671," 955,610 ",-1.71%,-1.73%
122011,12/01/2011,22.77,23.28,10744.32,10449.92,27.41,1244.58,-0.19%,-0.19%,29.43,5.34,1,0,8837,16,0,-4055," 951,555 ",-0.42%,-0.43%
122011,12/02/2011,23.96,23.38,10165.76,10442.24,27.52,1244.28,-0.02%,-0.02%,28.92,3.82,1,0,8176,16,-4840,-4628," 942,087 ",-0.99%,-1.00%
122011,12/05/2011,24.25,23.41,9971.20,10416.64,27.84,1257.08,1.03%,1.02%,28.39,2.11,1,0,8176,16,245,0," 942,332 ",0.03%,0.03%
122011,12/06/2011,23.40,23.50,10408.76,10378.24,28.13,1258.47,0.11%,0.11%,28.30,1.86,1,0,8176,16,777,0," 943,109 ",0.08%,0.08%
122011,12/07/2011,23.23,22.78,10508.80,10682.88,28.67,1261.01,0.20%,0.20%,28.22,1.63,1,0,8176,16,-5928,0," 937,181 ",-0.63%,-0.63%
122011,12/08/2011,22.15,21.74,11015.68,11189.76,30.59,1234.35,-2.11%,-2.14%,28.81,-1.33,0,1,8176,16,-8503,0," 928,678 ",-0.91%,-0.91%
122011,12/09/2011,22.00,23.23,11025.92,10396.16,26.38,1255.19,1.69%,1.67%,26.43,9.73,1,0,8176,16,1995,-10164," 920,509 ",-0.88%,-0.88%
122011,12/12/2011,22.68,23.06,10613.76,10449.92,25.67,1236.47,-1.49%,-1.50%,26.84,5.97,1,0,7925,16,2922,3397," 926,827 ",0.69%,0.68%
122011,12/13/2011,23.74,23.11,10232.32,10396.16,25.41,1225.73,-0.87%,-0.87%,26.03,4.01,1,0,7925,16,396,0," 927,223 ",0.04%,0.04%
122011,12/14/2011,23.15,23.12,10398.72,10437.12,26.04,1211.82,-1.13%,-1.14%,26.11,5.02,1,0,7925,16,79,0," 927,303 ",0.01%,0.01%
122011,12/15/2011,24.03,23.98,10053.12,10019.84,25.11,1215.75,0.32%,0.32%,26.07,5.15,1,0,7925,16,6815,0," 934,118 ",0.73%,0.73%
122011,12/16/2011,24.79,24.17,9702.40,9984.00,24.29,1219.66,0.32%,0.32%,25.52,7.99,1,0,7925,16,1545,0," 935,664 ",0.17%,0.17%
122011,12/19/2011,24.39,24.35,9879.04,9879.04,24.92,1205.35,-1.17%,-1.18%,25.17,9.34,1,0,7925,16,1387,0," 937,050 ",0.15%,0.15%
122011,12/20/2011,25.48,25.86,9428.48,9272.32,23.22,1241.30,2.98%,2.94%,27.24,4.76,1,0,7925,16,11967,0," 949,017 ",1.28%,1.27%
122011,12/21/2011,26.22,27.62,9177.60,8642.56,21.43,1243.72,0.19%,0.19%,26.28,6.63,1,0,7925,16,13948,0," 962,965 ",1.47%,1.46%
122011,12/22/2011,28.23,27.49,8455.68,8660.48,21.16,1254.00,0.83%,0.82%,26.26,5.71,1,0,7925,16,-1030,0," 961,935 ",-0.11%,-0.11%
122011,12/23/2011,27.86,26.85,8578.56,8880.64,20.73,1265.33,0.90%,0.90%,24.72,9.26,1,0,7925,16,-5072,0," 956,863 ",-0.53%,-0.53%
122011,12/27/2011,26.82,27.01,8847.36,8803.84,21.91,1265.43,0.01%,0.01%,24.64,9.83,1,0,7925,16,1308,0," 958,171 ",0.14%,0.14%
122011,12/28/2011,27.19,25.86,8757.76,9185.28,23.52,1249.64,-1.25%,-1.26%,23.54,8.59,1,0,7925,16,-9153,0," 949,017 ",-0.96%,-0.96%
122011,12/29/2011,26.31,26.51,9098.24,8954.88,22.65,1263.02,1.07%,1.07%,23.72,6.92,1,0,7925,16,5191,0," 954,208 ",0.55%,0.55%
122011,12/30/2011,26.55,26.14,8939.52,9095.68,23.40,1257.60,-0.43%,-0.43%,18.65,9.15,1,0,7925,16,-2972,0," 951,236 ",-0.31%,-0.31%
12012,01/03/2012,27.31,27.45,8680.96,8619.26,22.97,1277.06,1.55%,1.54%,19.33,8.08,1,0,7925,16,10342,0," 961,578 ",1.09%,1.08%
12012,01/04/2012,27.15,27.96,8734.72,8450.56,22.22,1277.30,0.02%,0.02%,19.32,8.20,1,0,7925,16,4042,0," 965,620 ",0.42%,0.42%
12012,01/05/2012,27.40,28.62,8563.20,8256.00,21.48,1281.06,0.29%,0.29%,19.06,8.78,1,0,7925,16,5231,0," 970,851 ",0.54%,0.54%
12012,01/06/2012,28.83,29.08,8199.68,8130.56,20.63,1277.81,-0.25%,-0.25%,19.10,9.03,1,0,7925,16,3685,0," 974,536 ",0.38%,0.38%
12012,01/09/2012,29.32,29.48,8056.32,8012.80,21.07,1280.70,0.23%,0.23%,19.10,9.57,1,0,7925,16,3170,0," 977,706 ",0.33%,0.32%
12012,01/10/2012,30.32,30.05,7759.36,7843.84,20.69,1292.08,0.89%,0.88%,17.52,13.07,1,0,7925,16,4517,0," 982,223 ",0.46%,0.46%
12012,01/11/2012,29.75,29.54,7915.47,7976.96,21.05,1292.48,0.03%,0.03%,16.69,9.69,1,0,7925,16,-4042,0," 978,181 ",-0.41%,-0.41%
12012,01/12/2012,29.68,29.95,7925.76,7848.96,20.47,1295.50,0.23%,0.23%,15.60,10.07,1,0,7925,16,3249,0," 981,430 ",0.33%,0.33%
12012,01/13/2012,29.17,29.19,8023.04,8061.44,20.91,1289.09,-0.49%,-0.50%,15.32,10.09,1,0,7925,16,-6023,0," 975,407 ",-0.61%,-0.62%
12012,01/17/2012,30.20,29.43,7802.88,7992.32,22.20,1293.67,0.36%,0.35%,14.47,11.57,1,0,7925,16,1942,0," 977,349 ",0.20%,0.20%
12012,01/18/2012,29.58,30.49,7951.36,7718.40,20.89,1308.04,1.11%,1.10%,14.73,10.38,1,0,7925,16,8361,0," 985,710 ",0.86%,0.85%
12012,01/19/2012,30.97,31.33,7590.40,7503.36,19.87,1314.50,0.49%,0.49%,14.74,9.55,1,0,7925,16,6617,0," 992,327 ",0.67%,0.67%
12012,01/20/2012,31.14,32.26,7539.20,7275.52,18.28,1315.38,0.07%,0.07%,13.70,11.22,1,0,7925,16,7449,0," 999,777 ",0.75%,0.75%
12012,01/23/2012,32.31,33.07,7265.28,7096.32,18.67,1316.00,0.05%,0.05%,10.08,13.14,1,0,7925,16,6380,0," 1,006,156 ",0.64%,0.64%
12012,01/24/2012,32.22,32.90,7267.84,7121.92,18.91,1314.65,-0.10%,-0.10%,10.17,11.26,1,0,7925,16,-1308,0," 1,004,849 ",-0.13%,-0.13%
12012,01/25/2012,32.89,34.39,7121.92,6822.40,18.31,1326.06,0.87%,0.86%,10.20,10.96,1,0,7925,16,11769,0," 1,016,617 ",1.17%,1.16%
12012,01/26/2012,35.17,34.25,6681.60,6819.84,18.57,1318.43,-0.58%,-0.58%,10.32,10.41,1,0,7925,16,-1109,0," 1,015,508 ",-0.11%,-0.11%
12012,01/27/2012,33.82,35.11,6919.68,6673.92,18.53,1316.33,-0.16%,-0.16%,10.38,11.53,1,0,7925,16,6816,0," 1,022,323 ",0.67%,0.67%
12012,01/30/2012,33.62,34.00,6917.12,6876.16,19.40,1313.01,-0.25%,-0.25%,9.14,14.38,1,0,7925,16,-8797,0," 1,013,527 ",-0.86%,-0.86%
12012,01/31/2012,34.83,34.06,6735.36,6876.16,19.44,1312.41,-0.05%,-0.05%,8.66,13.99,1,0,7925,16,476,0," 1,014,002 ",0.05%,0.05%
22012,02/01/2012,34.72,34.92,6720.00,6689.28,18.55,1324.09,0.89%,0.89%,8.69,14.71,1,0,7925,16,6855,0," 1,020,857 ",0.68%,0.67%
22012,02/02/2012,35.53,35.98,6576.64,6484.99,17.98,1325.54,0.11%,0.11%,7.29,15.68,1,0,7925,16,8361,0," 1,029,218 ",0.82%,0.82%
22012,02/03/2012,37.47,37.91,6215.68,6140.65,17.10,1344.90,1.46%,1.45%,8.51,13.71,1,0,7925,16,15295,0," 1,044,513 ",1.49%,1.48%
22012,02/06/2012,37.65,38.29,6197.76,6072.32,17.76,1344.33,-0.04%,-0.04%,8.56,12.92,1,0,7925,16,2972,0," 1,047,485 ",0.28%,0.28%
22012,02/07/2012,38.26,38.01,6092.80,6131.20,17.65,1347.05,0.20%,0.20%,8.38,12.25,1,0,7925,16,-2219,0," 1,045,266 ",-0.21%,-0.21%
22012,02/08/2012,38.08,37.19,6123.52,6266.88,18.16,1349.96,0.22%,0.22%,8.38,12.69,1,0,7925,16,-6499,0," 1,038,768 ",-0.62%,-0.62%
22012,02/09/2012,36.95,35.29,6295.04,6571.52,18.63,1351.95,0.15%,0.15%,8.06,12.63,1,0,7925,16,-14978,0," 1,023,790 ",-1.44%,-1.45%
22012,02/10/2012,33.36,32.11,6919.68,7135.23,20.79,1342.64,-0.69%,-0.69%,8.63,12.42,1,0,7925,16,-25241,0," 998,548 ",-2.47%,-2.50%
22012,02/13/2012,34.14,34.84,6748.16,6594.56,19.04,1351.77,0.68%,0.68%,8.80,11.67,1,0,7925,16,21635,0," 1,020,184 ",2.17%,2.14%
