Date,SVXY_adj_close_price,VXX_adj_close_price,^GSPC_adj_close_price,^VIX_adj_close_price,SVXY_adj_open_price,VXX_adj_open_price
10/04/2011,21.05,13528.37,1123.95,40.82,19.75,14914.56
10/05/2011,22.7,12866.56,1144.03,37.81,21.76,13352.96
10/06/2011,23.17,12641.28,1164.97,36.27,22.72,12907.52
10/07/2011,23.34,12856.32,1155.46,36.2,23.59,12410.88
10/10/2011,24.3,11932.16,1194.89,33.02,23.75,12352
10/11/2011,24.63,11786.24,1195.54,32.86,24.13,12083.2
10/12/2011,26.34,11000.32,1207.25,31.26,25.58,11389.44
10/13/2011,26.14,10977.28,1203.66,30.7,26,11111.68
10/14/2011,27.88,10357.76,1224.58,28.24,27.7,10529.28
10/17/2011,24.81,11432.96,1200.86,33.39,27.45,10401.28
10/18/2011,25.67,11008,1225.38,31.56,24.75,11443.2
10/19/2011,23.96,11742.72,1209.88,34.44,25.89,10938.88
10/20/2011,23.75,11857.92,1215.39,34.78,23.83,11840
10/21/2011,24.92,11210.24,1238.25,31.32,24.64,11409.92
10/24/2011,26.53,10539.52,1254.19,29.26,25.47,11089.92
10/25/2011,24.73,11212.8,1229.05,32.22,26.12,10654.72
10/26/2011,25.56,10759.68,1242,29.86,25.65,10792.96
10/27/2011,28.92,9331.2,1284.59,25.46,28.35,9658.88
10/28/2011,29.39,9282.56,1285.09,24.53,28.42,9528.32
10/31/2011,26.22,10268.16,1253.3,29.96,27.88,9692.16
11/01/2011,22.32,11755.52,1218.28,34.77,22.2,11816.96
11/02/2011,23.06,11392,1237.9,32.74,23.24,11340.8
11/03/2011,24.18,10831.36,1261.15,30.5,23.72,11074.56
11/04/2011,23.71,11071.74,1253.23,30.16,23.53,11120.64
11/07/2011,23.86,10961.92,1261.12,29.85,23.51,11112.96
11/08/2011,25,10449.92,1275.92,27.48,24.23,10813.44
11/09/2011,20.21,12421.12,1229.1,36.16,23.11,11243.52
11/10/2011,21.45,11642.88,1239.7,32.81,21.37,11673.6
11/11/2011,22.38,11146.24,1263.85,30.04,22.3,11197.44
11/14/2011,21.82,11422.72,1251.78,31.13,22.07,11307.52
11/15/2011,22.05,11297.28,1257.81,31.22,21.42,11632.64
11/16/2011,21,11850.24,1236.91,33.51,21.33,11655.68
11/17/2011,19.99,12400.64,1216.13,34.51,20.79,11937.28
11/18/2011,20.63,12003.84,1215.65,32,20.5,12072.96
11/21/2011,20.42,12170.24,1192.98,32.91,19.54,12615.68
11/22/2011,20.83,11883.52,1188.04,31.97,20.22,12231.68
11/23/2011,19.89,12441.6,1161.79,33.98,20.38,12167.68
11/25/2011,19.63,12595.2,1158.67,34.47,19.87,12474.88
11/28/2011,20.5,11985.92,1192.55,32.13,20.92,11742.72
11/29/2011,20.89,11745.28,1195.19,30.64,20.71,11870.69
11/30/2011,22.81,10703.36,1246.96,27.8,22.31,10969.6
12/01/2011,23.28,10449.92,1244.58,27.41,22.77,10744.32
12/02/2011,23.38,10442.24,1244.28,27.52,23.96,10165.76
12/05/2011,23.41,10416.64,1257.08,27.84,24.25,9971.2
12/06/2011,23.5,10378.24,1258.47,28.13,23.4,10408.76
12/07/2011,22.78,10682.88,1261.01,28.67,23.23,10508.8
12/08/2011,21.74,11189.76,1234.35,30.59,22.15,11015.68
12/09/2011,23.23,10396.16,1255.19,26.38,22,11025.92
12/12/2011,23.06,10449.92,1236.47,25.67,22.68,10613.76
12/13/2011,23.11,10396.16,1225.73,25.41,23.74,10232.32
12/14/2011,23.12,10437.12,1211.82,26.04,23.15,10398.72
12/15/2011,23.98,10019.84,1215.75,25.11,24.03,10053.12
12/16/2011,24.17,9984,1219.66,24.29,24.79,9702.4
12/19/2011,24.35,9879.04,1205.35,24.92,24.39,9879.04
12/20/2011,25.86,9272.32,1241.3,23.22,25.48,9428.48
12/21/2011,27.62,8642.56,1243.72,21.43,26.22,9177.6
12/22/2011,27.49,8660.48,1254,21.16,28.23,8455.68
12/23/2011,26.85,8880.64,1265.33,20.73,27.86,8578.56
12/27/2011,27.01,8803.84,1265.43,21.91,26.82,8847.36
12/28/2011,25.86,9185.28,1249.64,23.52,27.19,8757.76
12/29/2011,26.51,8954.88,1263.02,22.65,26.31,9098.24
12/30/2011,26.14,9095.68,1257.6,23.4,26.55,8939.52
01/03/2012,27.45,8619.26,1277.06,22.97,27.31,8680.96
01/04/2012,27.96,8450.56,1277.3,22.22,27.15,8734.72
01/05/2012,28.62,8256,1281.06,21.48,27.4,8563.2
01/06/2012,29.08,8130.56,1277.81,20.63,28.83,8199.68
01/09/2012,29.48,8012.8,1280.7,21.07,29.32,8056.32
01/10/2012,30.05,7843.84,1292.08,20.69,30.32,7759.36
01/11/2012,29.54,7976.96,1292.48,21.05,29.75,7915.47
01/12/2012,29.95,7848.96,1295.5,20.47,29.68,7925.76
01/13/2012,29.19,8061.44,1289.09,20.91,29.17,8023.04
01/17/2012,29.43,7992.32,1293.67,22.2,30.2,7802.88
01/18/2012,30.49,7718.4,1308.04,20.89,29.58,7951.36
01/19/2012,31.33,7503.36,1314.5,19.87,30.97,7590.4
01/20/2012,32.26,7275.52,1315.38,18.28,31.14,7539.2
01/23/2012,33.07,7096.32,1316,18.67,32.31,7265.28
01/24/2012,32.9,7121.92,1314.65,18.91,32.22,7267.84
01/25/2012,34.39,6822.4,1326.06,18.31,32.89,7121.92
01/26/2012,34.25,6819.84,1318.43,18.57,35.17,6681.6
01/27/2012,35.11,6673.92,1316.33,18.53,33.82,6919.68
01/30/2012,34,6876.16,1313.01,19.4,33.62,6917.12
01/31/2012,34.06,6876.16,1312.41,19.44,34.83,6735.36
02/01/2012,34.92,6689.28,1324.09,18.55,34.72,6720
02/02/2012,35.98,6484.99,1325.54,17.98,35.53,6576.64
02/03/2012,37.91,6140.65,1344.9,17.1,37.47,6215.68
02/06/2012,38.29,6072.32,1344.33,17.76,37.65,6197.76
02/07/2012,38.01,6131.2,1347.05,17.65,38.26,6092.8
02/08/2012,37.19,6266.88,1349.96,18.16,38.08,6123.52
02/09/2012,35.29,6571.52,1351.95,18.63,36.95,6295.04
02/10/2012,32.11,7135.23,1342.64,20.79,33.36,6919.68
02/13/2012,34.84,6594.56,1351.77,19.04,34.14,6748.16
02/14/2012,33.67,6789.12,1350.5,19.54,34.25,6684.16
02/15/2012,31.7,7173.12,1343.23,21.14,33.04,6850.56
02/16/2012,32.85,6896.64,1358.04,19.22,31,7347.2
02/17/2012,33.34,6808.32,1361.23,17.78,33.37,6781.44
02/21/2012,33.37,6799.36,1362.21,18.19,33.74,6717.44
02/22/2012,34.24,6607.36,1357.66,18.19,33.17,6842.88
02/23/2012,36.5,6177.28,1363.46,16.8,34.28,6615.04
02/24/2012,35.11,6412.8,1365.74,17.31,37.12,6095.36
02/27/2012,34.83,6479.36,1367.59,18.19,33.9,6640.64
02/28/2012,35.18,6389.76,1372.18,17.96,34.43,6548.48
02/29/2012,35.73,6277.12,1365.68,18.43,35.79,6282.24
03/01/2012,36.42,6179.84,1374.09,17.26,36.05,6243.84
03/02/2012,36.18,6214.66,1369.63,17.29,36.47,6161.92
03/05/2012,36.25,6192.64,1364.33,18.05,35.88,6250.24
03/06/2012,33.4,6663.68,1343.36,20.87,33.9,6586.88
03/07/2012,35.03,6331.14,1352.63,19.07,33.82,6571.52
03/08/2012,36.36,6092.8,1365.91,17.95,35.86,6174.72
03/09/2012,37.09,5975.04,1370.87,17.11,36.86,6005.76
03/12/2012,38.77,5701.15,1371.09,15.64,37.58,5890.56
03/13/2012,40.6,5439.74,1395.95,14.8,39.92,5532.16
03/14/2012,39.2,5616.51,1394.28,15.31,40.85,5399.04
03/15/2012,39.71,5534.21,1402.6,15.42,38.79,5675.52
03/16/2012,39.82,5518.67,1404.17,14.47,39.96,5498.88
03/19/2012,42.26,5185.15,1409.75,15.04,40.11,5486.08
03/20/2012,44.17,4945.92,1405.52,15.58,41.15,5306.88
03/21/2012,46.3,4700.16,1402.89,15.13,45.03,4846.08
03/22/2012,45.67,4756.48,1392.78,15.57,44.22,4912.64
03/23/2012,48.86,4428.8,1397.11,14.82,46.03,4723.2
03/26/2012,53.51,4011.14,1416.51,14.26,50.75,4257.28
03/27/2012,48.24,4403.2,1412.52,15.59,52.49,4078.08
03/28/2012,47.63,4436.48,1405.54,15.47,48.11,4400.64
03/29/2012,47.92,4413.44,1403.28,15.48,44.76,4712.96
03/30/2012,49.06,4295.81,1408.47,15.5,49.94,4234.24
04/02/2012,49.11,4297.86,1419.04,15.64,48.65,4326.4
04/03/2012,48.24,4377.6,1413.38,15.66,49.38,4277.76
04/04/2012,47.1,4475.39,1398.96,16.44,45.78,4595.2
04/05/2012,46.03,4572.16,1398.08,16.7,45.98,4590.08
04/09/2012,43.22,4859.39,1382.2,18.81,43.37,4846.08
04/10/2012,39.72,5248.13,1358.59,20.39,42.98,4884.48
04/11/2012,40.71,5130.24,1368.71,20.02,41.83,4989.44
04/12/2012,44.29,4687.36,1387.57,17.2,41.31,5056
04/13/2012,41.55,4938.21,1370.26,19.55,44.3,4669.44
04/16/2012,42.2,4861.7,1369.57,19.55,43.01,4761.6
04/17/2012,44.5,4605.44,1390.78,18.46,43.65,4689.92
04/18/2012,43.71,4672,1385.14,18.64,44.02,4646.4
04/19/2012,43.38,4705.28,1376.92,18.36,43.88,4654.08
04/20/2012,44.79,4549.12,1378.53,17.44,44.33,4600.32
04/23/2012,43.34,4700.16,1366.94,18.97,42.53,4779.52
04/24/2012,44.31,4584.96,1371.97,18.1,43.47,4674.56
04/25/2012,47.08,4305.92,1390.69,16.82,46.14,4403.2
04/26/2012,48.67,4154.88,1399.98,16.24,46.97,4313.6
04/27/2012,48.78,4144.64,1403.36,16.32,48.95,4142.08
04/30/2012,47.69,4236.8,1397.91,17.15,48.19,4198.4
05/01/2012,49.1,4098.56,1405.82,16.6,47.81,4226.56
05/02/2012,48.74,4144.64,1402.31,16.88,48.1,4195.84
05/03/2012,47.71,4234.24,1391.57,17.56,49.17,4108.8
05/04/2012,45.57,4410.88,1369.1,19.16,47.24,4275.2
05/07/2012,46.21,4341.76,1369.58,18.94,44.51,4518.4
05/08/2012,45.82,4382.72,1363.72,19.05,45.23,4431.36
05/09/2012,44,4544,1354.58,20.08,43.54,4597.76
05/10/2012,45.41,4405.76,1357.99,18.83,45.26,4413.44
05/11/2012,44.68,4474.88,1353.39,19.89,44.18,4520.96
05/14/2012,42.04,4723.2,1338.35,21.87,42.78,4664.32
